Sector,Country,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Other sectors,Aruba,0.001472829,0.001485989,0.001505175,0.001604984,0.001603974,0.001652549,0.001651399,0.001688419,0.001678478,0.001700025,0.001702673,0.00176474,0.001785321,0.001863316,0.001835313,0.001918645,0.001861989,0.001900552,0.002353443,0.002543433,0.002545198,0.003039857,0.003223312,0.003385916,0.003557823,0.003443425,0.00312478,0.003560764,0.003595213,0.003731243,0.003513454,0.0037302,0.003820227,0.004088557,0.004153245,0.00475054,0.004691676,0.004685079,0.004565059,0.005043485,0.0046905,0.00425499,0.006242677,0.006260681,0.006347658,0.006494962,0.006350348,0.006296936,0.006229392,0.006354018,0.00635529,0.006356708
Other sectors,Afghanistan,0.542534689,0.540816469,0.631944767,0.478207089,0.667249301,0.599919396,0.650906498,0.757437574,0.624113421,0.586913162,0.63693794,0.606848902,0.616236844,0.641981758,0.677510443,0.710334546,0.676025627,0.552825506,0.491776776,0.339800362,0.259746504,0.270308473,0.270219536,0.254005553,0.175225185,0.169208108,0.171192801,0.173509301,0.175972762,0.17742005,0.182295741,0.201236627,0.183588393,0.195975343,0.204235367,0.198365505,0.162672735,0.169668209,0.16776332,0.179376903,0.201328655,0.211221286,0.332885475,0.395348827,0.402394092,0.383127653,0.507763222,0.638060743,0.471459096,0.431664239,0.31543415,0.318967643
Other sectors,Angola,7.334843177,6.920581356,7.982785416,9.173169975,9.579923648,8.974621463,5.377828336,10.55123319,11.66301085,11.66438647,11.6838866,10.7328653,10.59722444,10.93022915,11.16178746,11.32315054,11.5179385,11.70525823,11.7907053,11.86342633,7.375929642,7.837621613,8.306080015,7.987918515,7.387469164,9.12607539,11.58155969,12.1670714,13.40423699,13.39144233,11.98145644,11.26179855,10.5335022,10.38516416,10.09952877,9.829571445,8.481777318,7.596175522,7.683762232,7.450357483,8.685163449,8.698267087,7.749521305,8.541851168,9.506237263,11.074229,11.36015818,9.414923789,7.42795594,6.559250636,5.618515416,5.508340864
Other sectors,Anguilla,0.00000032,3.227E-07,3.253E-07,3.277E-07,3.298E-07,3.315E-07,1.78996E-05,3.3455E-07,3.356E-07,3.3575E-07,3.349E-07,3.326E-07,3.2935E-07,3.2685E-07,3.2755E-07,3.331E-07,3.4415E-07,3.599E-07,3.788E-07,3.983E-07,4.167E-07,4.334E-07,4.4895E-07,4.633E-07,0.000000477,4.9035E-07,5.0315E-07,5.1525E-07,5.2725E-07,5.3985E-07,6.4817E-07,1.94801E-06,1.69519E-06,0.000806464,0.00066389,0.000681709,8.0119E-07,0.00067846,0.000619395,0.000357777,6.884E-07,0.000361337,0.000361346,0.000387917,0.000387309,0.000388833,7.31112E-07,7.383E-07,7.4556E-07,7.53206E-07,7.60725E-07,7.68319E-07
Other sectors,Albania,0.925038672,0.925351231,1.023121514,0.98404437,1.174784797,1.040693124,1.072766204,1.201537742,1.200472322,1.230659051,1.252470457,1.223500601,1.166503148,1.12749277,1.210193774,1.137854109,1.195132239,1.060742461,1.036083296,1.056412139,0.976263397,0.625246191,0.283190889,0.299205843,0.353960094,0.264028757,0.238301776,0.201265314,0.194508494,0.199391806,0.180722921,0.248161625,0.27963661,0.410970696,0.428902049,0.373944528,0.368139751,0.492973029,0.513717976,0.551129884,0.669223126,0.85467856,1.072543563,1.14493763,0.991664819,1.069109249,0.923522333,0.982522905,0.988374032,0.98978098,0.974675308,1.011665403
Other sectors,Curaçao,0.004187839,0.004233059,0.004908125,0.004292014,0.004305022,0.004358278,0.004375924,0.004409617,0.00446632,0.004524594,0.00451353,0.00463822,0.005136647,0.004705014,0.004676115,0.004720731,0.004752796,0.00481287,0.004874551,0.0068907,0.004987633,0.004966045,0.026874177,0.046050209,0.041402407,0.041780592,0.042902101,0.044629764,0.046357869,0.048102473,0.049873413,0.050441559,0.050416839,0.050411556,0.051647278,0.054471137,0.055457499,0.058837179,0.058367303,0.056120078,0.056746431,0.057380188,0.040107248,0.040124278,0.040758448,0.040156399,0.03955565,0.039607253,0.039529427,0.039775681,0.039579765,0.039385509
Other sectors,United Arab Emirates,16.97440356,22.94094715,25.13333453,32.5726839,32.59990414,31.72308897,39.16769664,35.23260377,40.33012548,23.35513756,21.89940885,14.7205718,12.50755388,12.11377395,18.12849855,16.1994553,10.23869641,7.876782769,5.573523984,5.005718816,5.050202513,5.594888961,5.987877546,6.339245561,7.032710103,7.827679788,8.222012358,7.754619422,8.185330971,8.588804117,8.688965012,8.63275457,8.945509094,10.02849676,10.01490363,11.33846146,12.17551303,13.01409453,17.80792686,16.93231593,17.46410775,18.22300065,17.48503538,18.96949786,21.41308025,21.59525868,20.79635339,21.55818737,21.66467531,21.30214321,20.37258902,20.86937957
Other sectors,Argentina,6.593495278,7.037586562,6.960768998,6.939339963,6.860884778,6.902917124,7.764338327,7.96634829,8.501365247,9.178658277,8.928109852,7.831566553,7.556353126,7.556819273,7.682853246,7.439124727,8.609880107,8.737213429,8.401478486,7.69608092,7.162766904,6.759035564,7.271451571,7.808050698,9.006695451,10.64049066,10.95391943,12.67112291,12.42249983,13.21569762,11.40898068,12.55669001,11.67233956,15.69628826,17.3364695,16.85383782,17.73802394,19.53225291,20.68462979,16.72168692,18.51576232,18.81114899,19.13743947,20.78302091,22.088151,19.66843063,19.31478184,20.32061594,20.8435714,20.95429274,20.26278617,20.81479685
Other sectors,Armenia,0.609130572,0.629912419,0.648606984,0.6693788,0.690702725,0.71636481,0.728181444,0.738560877,0.739751586,0.732210587,0.741714651,0.745257629,1.133371161,1.076891266,1.090175041,1.110183905,1.105784557,1.104773713,1.032517119,0.947864717,0.85623366,0.872290975,0.348395016,0.26106856,0.208044384,0.250777024,0.272324802,0.275826746,0.279819011,0.268063023,0.241211631,0.271853318,0.291347344,0.296869295,0.372244183,0.416802901,0.43416597,0.502443907,0.528879262,0.394181806,0.422036987,0.425861695,0.439239611,0.322368509,0.321013249,0.311744944,0.246710999,0.288125812,0.374425675,0.403954371,0.412943042,0.427454584
Other sectors,Antigua and Barbuda,0.001858255,0.001852663,0.001855539,0.002185264,0.002123249,0.002269984,0.00223944,0.002386164,0.002347761,0.002430152,0.002413954,0.002518382,0.002809282,0.002528992,0.002452768,0.002672308,0.002475347,0.002807117,0.002495993,0.002431746,0.002402989,0.002649868,0.002661914,0.002709992,0.002756661,0.002636849,0.002722412,0.002694107,0.002734049,0.002830881,0.002578765,0.002701527,0.002757281,0.002872102,0.002907166,0.003142143,0.003133762,0.003141555,0.003162308,0.003465674,0.003352476,0.003313463,0.004423875,0.004563361,0.004642707,0.004720589,0.004705295,0.004476502,0.004576859,0.004585938,0.004574584,0.004563694
