Sector,Country,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Other industrial combustion,Afghanistan,0.101665924,0.101665924,0.094763416,0.096219807,0.105738665,0.111663576,0.116025469,0.149615851,0.159039441,0.179988088,0.183140345,0.266921104,0.227613897,0.242330905,0.261445524,0.424553043,0.435867155,0.46189054,0.387733587,0.345791208,0.318583163,0.285225026,0.070689054,0.067471694,0.093570487,0.095919812,0.087327787,0.078782941,0.079176484,0.091850409,0.246399242,0.185110877,0.27991868,0.212825985,0.167258019,0.245772368,0.262359384,0.643467881,1.163367016,1.630969283,1.918575507,3.628338176,2.867950163,2.856986406,3.178255252,2.700385892,2.740254567,3.139160205,3.455845215,3.232308134,3.373855654,3.414718269
Other industrial combustion,Albania,1.472330503,1.472330503,1.856955708,1.111574311,1.143378704,1.052955798,1.080931731,1.221744383,1.489276861,1.907790396,2.777118867,2.423005594,2.445053086,2.785809853,2.856201146,2.765855812,2.728144273,2.971974574,2.665856602,3.347044492,2.349521346,1.621565031,0.970007638,0.754500278,0.675666145,0.630708939,0.570113923,0.356479192,0.515221461,0.560417133,0.569208575,0.613095055,0.530776886,0.693236461,0.662313668,0.608029243,0.801139926,0.875052915,0.781346811,0.903334843,1.119922376,1.204824973,0.740167752,0.631044649,1.034760449,0.759246932,0.729602937,1.295556302,1.35554842,1.086909026,1.052532876,0.854159458
Other industrial combustion,Algeria,2.476817872,2.476817872,3.34233288,4.2836694,4.510728482,4.820546145,5.501544948,6.562972164,8.573536975,12.48784868,11.02690725,14.17979337,17.97597681,19.32722581,16.77683834,16.19920539,18.90501055,19.01477755,20.40956161,19.45900021,18.54894254,19.70867825,19.34354183,19.98033751,18.57457951,19.58746307,19.00698818,19.65424576,18.4765697,19.75565511,19.49610386,19.82692067,21.34707167,20.75971915,19.99440757,20.15586157,20.93295177,21.34527106,21.24207624,21.84716621,22.03050597,21.97509552,22.57729542,22.8649691,25.4663234,23.78658166,22.5804623,22.38048583,22.6656392,24.52361231,23.42963505,24.54497402
Other industrial combustion,Angola,0.333770202,0.333770202,0.392402059,0.44140915,0.448816832,0.388854683,0.39349332,0.412552776,0.567103754,0.540507172,0.563858588,0.58900267,0.539175828,0.582009048,0.859562195,1.014368197,0.91955252,1.007180372,0.959064452,1.029368014,1.950860882,1.819798378,1.912401695,2.373784177,1.83279723,2.003872936,2.095888822,1.953394067,1.500910198,1.705304124,1.780752305,1.83263909,2.000496309,2.025615782,2.307505704,1.923532931,2.155798099,2.474791131,2.297935775,2.422922096,2.578803471,2.636540212,2.443120242,1.961691485,1.805576781,2.497918478,2.849837917,2.39346482,2.387240114,2.628042562,2.629921121,2.98440071
Other industrial combustion,Anguilla,0.000108991,0.000108991,0.000121452,0.00010264,0.000115154,0.000127991,0.000139306,0.000142281,0.000157591,0.000177405,0.000196352,0.00021763,0.000169166,0.000189183,0.000199636,0.000248825,0.000339269,0.001059412,0.00075168,0.000774586,0.000755587,0.0007641,0.000715907,0.001319158,0.001378461,0.000940701,0.000964342,0.000913756,0.001508424,0.001482147,0.001560857,0.001423851,0.001347144,0.001336122,0.001556641,0.001171006,0.00113333,0.001184707,0.001144242,0.001130767,0.001103453,0.001103453,0.001118617,0.001201034,0.001199123,0.001203824,0.001223898,0.001243972,0.001208039,0.001179671,0.000973878,0.001085519
Other industrial combustion,Antigua and Barbuda,0.00196154,0.00196154,0.002201555,0.00183803,0.002078045,0.002325275,0.00256618,0.002680705,0.002805051,0.003141029,0.003428191,0.003617591,0.00383326,0.003137793,0.003799689,0.004210041,0.006564062,0.024150924,0.022074769,0.019163597,0.016438475,0.016843129,0.016253817,0.043328741,0.045145873,0.019222987,0.018380708,0.015936156,0.035525635,0.035783966,0.03350984,0.029382068,0.031494107,0.031083518,0.036628174,0.026401187,0.025019614,0.025116134,0.023695619,0.026292683,0.027992939,0.041900195,0.071816292,0.069139404,0.078390474,0.073782738,0.067544933,0.056061952,0.065986439,0.065563041,0.054354166,0.060495806
Other industrial combustion,Argentina,26.72132031,26.72132031,25.86252245,27.00269306,27.52769938,26.21712876,27.6238006,26.37216948,28.23496966,28.81560042,27.72775116,26.2853582,27.42582343,27.53009513,28.81475924,26.96286623,27.29122178,29.7589816,27.86540455,26.690333,24.31953778,26.20019617,27.32793856,25.35039471,27.14721004,25.28080113,26.44570052,31.05866401,32.82629845,31.00298594,31.10037753,31.43864883,30.59631868,33.1845777,34.32013856,34.22411643,36.29681446,36.39605586,36.68270738,34.51571837,35.58465842,36.97726521,36.01649438,37.74125298,38.43316229,39.2210543,37.08241521,36.40559791,37.73835669,37.20976596,35.40038154,39.24751573
Other industrial combustion,Armenia,4.1536217,4.1536217,4.409275,4.6820038,4.9608625,5.2386773,5.4335305,5.6565807,5.8707916,6.0937069,6.3300371,6.3200263,6.306155,6.3510422,6.4062448,6.4655441,6.5167156,6.5874122,6.7041679,6.7110627,3.807222286,3.991191534,1.377105297,1.999649995,0.636416486,0.505357253,0.446591662,0.851399678,0.97331276,1.028351714,0.72291582,0.800317069,0.798701332,0.987836856,1.097248652,1.358837449,1.436844448,1.170358178,1.344397297,0.961733526,0.515856409,0.597094645,0.665660188,0.657884739,0.58813701,0.425340298,0.412863754,0.467371382,0.485423009,0.443445624,0.456786377,0.485010544
Other industrial combustion,Aruba,0.000476374,0.000476374,0.000534663,0.000446379,0.000504668,0.00056471,0.000623215,0.000651028,0.000681227,0.000762821,0.000832561,0.000983985,0.000766652,0.00106685,0.001174449,0.001301285,0.001995593,0.005897386,0.019970908,0.023397682,0.020189477,0.023202253,0.02463407,0.06759015,0.073456934,0.03288466,0.020812927,0.028339758,0.063176335,0.063635635,0.066608619,0.060400489,0.062493233,0.065211139,0.077165,0.059174032,0.054214218,0.053690014,0.046674148,0.048697086,0.048400557,0.057367739,0.119198337,0.110136386,0.12368551,0.117320454,0.104141385,0.094509876,0.104055348,0.10727659,0.088780173,0.098850252
Other industrial combustion,Australia,45.98466144,47.11617019,45.58181099,47.86820868,57.83803017,58.39860994,57.34934275,59.22067447,56.75230881,58.48779323,56.99590183,53.52493658,52.51506256,46.54937704,47.61022456,50.28860541,50.27288648,52.18312502,53.8548368,55.74366048,56.83534454,57.21578173,56.63220331,58.07020686,60.29395849,61.66994897,62.55550566,63.90508255,65.27070478,65.46251512,65.99073953,64.88633803,53.51700561,66.85971087,68.28541731,66.7045111,66.79936589,68.13519167,69.52656842,65.34320194,66.25231957,70.08564089,70.02486046,72.20998375,71.50179104,66.88658354,68.62616703,72.24387518,75.8167172,79.59516355,74.65796441,71.7668473
Other industrial combustion,Austria,14.9024572,15.14250613,15.58281465,16.47796757,17.74780149,16.26802245,16.9165915,16.46212472,16.88993305,16.62768475,15.32912098,12.82228609,12.12515507,12.58503193,13.39783505,13.91293481,13.42732206,13.46145946,13.57621884,13.08069582,15.13203977,15.53040995,14.3306093,14.91980535,15.36224994,16.00373664,15.25345036,16.80147421,16.52989119,15.14156962,16.91663734,16.89446138,17.36143637,17.67641216,18.56836966,18.24288149,18.42910966,18.22050388,19.02185722,16.17708931,18.30397204,18.91511975,18.07138388,17.69278035,17.38811737,16.56209458,16.36601067,16.43526751,15.34431946,16.40929645,15.08938772,15.90913596
Other industrial combustion,Azerbaijan,20.0891606,20.0891606,21.5686177,23.0621872,24.4850493,26.7532244,28.1022601,29.6267516,31.2049715,32.7544171,34.43204,35.1692788,35.8479428,36.9925327,38.3196525,38.8337199,41.0030569,42.8087288,44.2499038,44.4905566,18.25474316,18.87598513,10.24848788,8.041010379,7.709513445,8.849706554,5.112606401,4.571987287,3.273920891,3.811035169,3.663946024,3.529085959,4.346850849,4.416576115,4.277656874,4.223071442,4.221190217,4.264706584,4.83496689,3.732738419,2.969420628,3.661282853,4.299120569,4.187339506,4.174152538,4.195458145,4.60583896,3.644377626,3.082954876,4.223856147,4.19836694,4.326368953
Other industrial combustion,Bahamas,0.019615398,0.019615398,0.022015551,0.018380295,0.020780448,0.023252746,0.025661797,0.026807051,0.028050513,0.031410287,0.034281913,0.041964054,0.028185735,0.029809033,0.029361232,0.028704825,0.044313898,0.14570013,0.125995443,0.125054695,0.109005556,0.100425971,0.082930361,0.233185418,0.247336152,0.116459323,0.125354806,0.103581504,0.259247615,0.231530017,0.246699166,0.220255484,0.228487282,0.153668672,0.192494765,0.131713009,0.139714574,0.153767258,0.139660337,0.111561045,0.128700516,0.168700435,0.322927365,0.291003387,0.318414258,0.283981442,0.267094327,0.277874363,0.343264129,0.339486177,0.280423846,0.312366485
