Sector,Country,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Transport,Afghanistan,0.242844189,0.242844189,0.26472148,0.252438432,0.245194199,0.284368707,0.257488363,0.285443709,0.303004267,0.326943436,0.332621498,0.394093249,0.395636252,0.547892658,0.53918584,0.693785994,0.578883461,0.677747148,0.645771943,0.609820456,0.596968554,0.571954475,0.337745458,0.341978481,0.324473241,0.31386699,0.316802941,0.283764801,0.268762408,0.244028221,0.232271714,0.22292911,0.169855366,0.234358605,0.203707817,0.326445205,0.428745859,0.452729385,1.327963338,2.558310514,3.401194214,4.821794999,4.214921059,2.711830336,1.948063517,2.475044953,1.700943067,1.543906614,2.182969166,1.776780156,1.762206574,1.823778644
Transport,Albania,0.72604518,0.72604518,0.77949378,0.787096302,0.8273808,0.858410318,1.000929876,1.035115801,1.121353365,1.261791052,1.480608016,0.821470457,0.854648786,0.933565323,1.320088557,1.079201854,1.012119398,1.045660481,1.152382578,0.957233785,0.709417528,0.536698313,0.409349902,0.507291097,0.635479584,0.627547048,0.620837353,0.492763051,0.73940516,1.405726653,1.471242076,1.546629245,1.772366792,1.922076048,2.306453626,2.381092273,1.9242767,2.104478942,2.292100678,2.313488323,2.241509715,2.355394612,2.261590096,2.465960284,2.478646382,2.450039369,2.301983094,2.31184649,2.20726857,2.186935602,1.976951622,2.017168967
Transport,Algeria,2.661011192,2.661011192,2.63986362,2.980691241,3.282269143,3.65340789,4.124413941,4.540863564,5.194316918,5.668116211,6.215814849,6.785131019,7.096334205,7.604364687,8.158768853,12.40981503,12.53780809,12.66550169,12.70792781,12.92945193,15.80862238,16.88028575,16.80120386,16.96091437,15.52121578,15.11003915,14.96414207,15.01324731,15.46113453,16.47154664,16.84687523,17.04115055,19.35792763,21.76039809,22.0250262,24.16192206,25.6264693,27.60116637,29.18920779,30.51643466,31.71048789,34.21894563,38.64333438,40.26366799,43.50517479,46.40912018,45.1858305,44.69342746,45.46007124,45.6195694,40.67227807,42.27704383
Transport,Angola,1.026186086,1.026186086,1.715476478,1.447518111,1.30189974,1.098435902,1.107022658,0.64881389,1.333049829,1.055154573,0.996050778,0.871852962,0.855914322,0.777051393,0.702412071,1.039411724,1.026058069,1.041996709,1.242887445,1.303953325,1.016536184,1.25738385,1.187004022,1.211945004,1.540968959,1.070873709,0.987971108,1.052141848,0.834181863,1.156568674,1.074497818,1.204489162,1.480809689,2.754302529,3.452525577,2.476571026,3.293165758,3.896112479,5.203890986,5.757242075,5.683609748,6.276175247,6.74138144,7.698846979,7.939405573,7.982959775,7.913408259,6.721236134,6.946170864,7.933886289,7.22782357,7.75537704
Transport,Anguilla,0.001618394,0.001618394,0.001694541,0.001555969,0.001777049,0.001964055,0.001744952,0.00193384,0.002184938,0.002357566,0.003735178,0.005957759,0.00639317,0.005475635,0.005186027,0.003008126,0.002355777,0.004586201,0.004673688,0.004986293,0.004935347,0.006380401,0.006721899,0.008161664,0.011269862,0.014965314,0.014721921,0.012150965,0.010338589,0.009744076,0.013295943,0.01372806,0.008763515,0.011189791,0.01047839,0.011046099,0.010924613,0.009713637,0.012713739,0.017878312,0.022088676,0.023616792,0.023616792,0.025356827,0.025316477,0.025415725,0.026081134,0.026746544,0.025973934,0.025352031,0.020922918,0.023310485
Transport,Antigua and Barbuda,0.017020046,0.017020046,0.013382873,0.016904353,0.01949914,0.025274499,0.026135718,0.027198467,0.028322519,0.024943894,0.040525038,0.038073172,0.05520588,0.037637845,0.047054829,0.046905005,0.043574942,0.065982491,0.065709684,0.064418001,0.065763478,0.071199131,0.07596342,0.081033312,0.088304793,0.092021352,0.093673045,0.099951302,0.135049274,0.154269568,0.146807105,0.146262309,0.135816956,0.156111318,0.170327551,0.176432442,0.178097324,0.183553179,0.185901049,0.218462055,0.225546467,0.246774898,0.265043924,0.278477402,0.29132164,0.287170789,0.284120549,0.252060207,0.279115118,0.277281035,0.227507148,0.253522586
Transport,Argentina,23.60343485,23.60343485,24.97823043,25.52803974,25.91634142,24.42917234,24.62640642,26.08881819,26.61111895,28.69128387,29.70137359,29.49835545,29.88571308,30.00228933,29.43525058,27.21996131,28.25502089,28.98741333,27.47740398,27.56061069,28.34367537,29.9655556,32.0013047,34.27610247,33.78708751,35.21074918,40.99945465,40.96766507,43.59381278,40.9665272,39.83767919,36.62532575,33.8385098,34.55795605,37.16769537,37.71436621,40.5476509,43.88221867,45.84779309,42.02100518,44.19915403,45.67025978,44.82142633,47.73597167,44.06038871,46.27818026,45.24972059,46.43111397,47.78773697,47.46937015,42.85361729,48.45645684
Transport,Armenia,1.249185,1.249185,1.3662504,1.4781135,1.6068384,1.7882397,1.9087137,1.9276455,1.9621053,2.0319294,2.1520176,2.1086883,2.0504286,1.977837,1.9296912,1.899,1.981935,2.0363052,2.0896533,2.1446904,2.961874649,2.896739861,1.829520097,1.189188118,0.158558282,0.112820365,0.060983889,0.064033311,0.067082449,0.070131586,0.570200386,0.567151255,0.542757579,0.585446358,0.607218654,0.671575226,0.665026569,1.058991008,1.258445237,1.142697427,1.263013213,1.294932904,1.300790758,1.278243485,1.705692106,1.655857323,1.580138778,1.673615509,1.801140291,2.058817807,1.983299227,2.124538785
Transport,Aruba,0.00413344,0.00413344,0.003250126,0.004105343,0.004735505,0.006138093,0.006347246,0.006605342,0.006878326,0.006057803,0.009841795,0.010355903,0.011041176,0.012796867,0.01454422,0.014497911,0.013247565,0.016112188,0.059447147,0.078650786,0.08076967,0.098080367,0.115129153,0.126406944,0.143680896,0.157420433,0.106068289,0.177746491,0.240162298,0.274341921,0.291813344,0.300670293,0.269499333,0.327511091,0.358831029,0.395445059,0.385913505,0.392376186,0.366176252,0.404616958,0.38997601,0.337872362,0.439911255,0.443603692,0.459651074,0.456624522,0.438059615,0.425045636,0.44124634,0.454931438,0.37326806,0.415951256
Transport,Australia,32.48218293,33.37386238,34.34226883,38.07231528,39.16230079,40.7179321,42.01944828,44.74460871,47.21084017,48.3324527,49.57315007,50.42789661,51.57656385,51.0272644,53.22945176,54.77399625,56.23620296,57.18462448,59.38721988,61.22137924,62.02903609,60.58514457,62.08020629,63.18511838,64.83010826,67.54024552,70.02343253,71.38549545,71.38787127,72.77354019,75.01426536,74.41704433,76.13239263,76.408351,79.18210061,79.33339077,81.25160667,83.57809316,85.29880565,84.68429401,87.63030354,89.76823254,90.42527858,91.82825271,91.97974168,94.15307558,95.59078539,97.68261478,99.14382053,99.36695523,83.11543312,84.67517376
